"","id","speaker_id","utterance_order","transcript_id","corpus_id","gloss","num_tokens","stem","part_of_speech","speaker_code","speaker_name","speaker_role","target_child_id","target_child_age","target_child_name","target_child_sex","type","media_end","media_start","media_unit","collection_id","collection_name","num_morphemes","language","corpus_name"
"1",1804214,3502,1,5263,48,"now the last thing we have you guys do together is kind of fun",14,"now the last thing we have you guy do together be kind of fun","adv det:art adj n pro:sub v pro:per n v adv aux adj prep n","INV","Ellen","Investigator",3276,107.790714388386,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",16,"eng","HSLLD"
"2",1804258,3502,2,5263,48,"and you may remember it from when we visited you back when you were in like kindergarten or when you were like five years old",25,"and you may remember it from when we visit you back when you be in like kindergarten or when you be like five year old","coord pro:per mod v pro:per prep adv:int pro:sub v pro:per adv conj pro:per cop prep co n coord conj pro:per cop co det:num n adj","INV","Ellen","Investigator",3276,107.790714388386,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",29,"eng","HSLLD"
"3",1804326,3502,3,5263,48,"we brought these things with you for you guys to play with",12,"we bring these thing for you guy to play with","pro:sub v pro:dem n prep pro:per n prep n prep","INV","Ellen","Investigator",3276,107.790714388386,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",13,"eng","HSLLD"
"4",1804361,3502,4,5263,48,"I'm gonna video tape your hands if that's okay",9,"I gonna video tape your hand if that okay","pro:sub mod:aux n v det:poss n conj pro:dem co","INV","Ellen","Investigator",3276,107.790714388386,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",12,"eng","HSLLD"
"5",1804383,3278,5,5263,48,"video tape",2,"video tape","n n","MOT",NA,"Mother",3276,107.790714388386,NA,"female","question",NA,NA,NA,3,"Eng-NA",2,"eng","HSLLD"
"6",1804394,3502,6,5263,48,"oh lala",2,"oh lala","co wplay","INV","Ellen","Investigator",3276,107.790714388386,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",2,"eng","HSLLD"
"7",1804411,3502,7,5263,48,"and I see you both have nice polish on so it'll look good",13,"and I see you both have nice polish on so it look good","coord pro:sub v pro:per qn v adj n adv conj pro:per cop adj","INV","Ellen","Investigator",3276,107.790714388386,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",14,"eng","HSLLD"
"8",1804485,3502,9,5263,48,"yeah",1,"yeah","co","INV","Ellen","Investigator",3276,107.790714388386,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
"9",1804490,3502,10,5263,48,"you must have know we were coming",7,"you must have know we be come","pro:per mod v v pro:sub aux part","INV","Ellen","Investigator",3276,107.790714388386,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",9,"eng","HSLLD"
"10",1804536,3502,12,5263,48,"xxx here",2,"here","adv","INV","Ellen","Investigator",3276,107.790714388386,NA,"female","declarative",NA,NA,NA,3,"Eng-NA",1,"eng","HSLLD"
